run_name,fold,sampling_strategy,seed,model_path,val_csv,test_csv,selected_threshold,val_dice,val_iou,val_precision,val_recall,val_accuracy,test_dice,test_iou,test_precision,test_recall,test_accuracy,test_tp,test_fp,test_fn,test_tn
domain_balance_flood_bin_fp1_seed42,fp1,flood_bin,42,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/domain_balancing/models/domain_balance_flood_bin_fp1_seed42_best.pt,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp1/validation.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp1/test.csv,0.5,0.630018668693484,0.45987390798432465,0.6581819693365702,0.6041666581191448,0.8596239292875261,0.5374569185727596,0.36748108510301175,0.5329734146967318,0.5420164950723311,0.8697166721316163,679596,595507,574233,7129096
domain_balance_source_fp_fp1_seed42,fp1,source_fp,42,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/domain_balancing/models/domain_balance_source_fp_fp1_seed42_best.pt,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp1/validation.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp1/test.csv,0.66,0.6156815837591355,0.4447543112451243,0.629106511758964,0.6028176514729895,0.8511218618839357,0.47298640110915413,0.30974603071821644,0.4197218468322696,0.5417349574782893,0.831411542683624,679243,939074,574586,6785529
domain_balance_source_fp_x_flood_bin_fp1_seed42,fp1,source_fp_x_flood_bin,42,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/domain_balancing/models/domain_balance_source_fp_x_flood_bin_fp1_seed42_best.pt,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp1/validation.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp1/test.csv,0.66,0.6090644368729146,0.43788113052745176,0.6096166896224764,0.6085131837910939,0.8454667760970758,0.4852174709010138,0.3203215389536169,0.45478971620375536,0.5200087093216443,0.845913072572139,652002,781632,601827,6942971
domain_balance_standard_fp1_seed42,fp1,standard,42,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/domain_balancing/models/domain_balance_standard_fp1_seed42_best.pt,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp1/validation.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp1/test.csv,0.49,0.6132224777353291,0.4421923977639332,0.6499753498914222,0.5804035449991125,0.8551617886157757,0.5232042209812888,0.35428339409865456,0.5417058778319962,0.5059246516072363,0.8712299653213403,634343,536667,619486,7187936
domain_balance_flood_bin_fp2_seed42,fp2,flood_bin,42,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/domain_balancing/models/domain_balance_flood_bin_fp2_seed42_best.pt,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp2/validation.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp2/test.csv,0.48,0.6058661202945428,0.43458245231265397,0.6352279458812576,0.5790987276612101,0.8098580611379539,0.6904250991668535,0.5272131427745109,0.6325871537923153,0.7599036971117913,0.8091523543648118,1924716,1117894,608126,5393232
domain_balance_source_fp_fp2_seed42,fp2,source_fp,42,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/domain_balancing/models/domain_balance_source_fp_fp2_seed42_best.pt,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp2/validation.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp2/test.csv,0.53,0.6065876921059361,0.4353253438838304,0.6127640934822701,0.6005345592320905,0.8034149169921891,0.6693036623886686,0.5029724990376929,0.5914625500369151,0.7707389564765678,0.7866991568302786,1952160,1348404,580682,5162722
domain_balance_source_fp_x_flood_bin_fp2_seed42,fp2,source_fp_x_flood_bin,42,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/domain_balancing/models/domain_balance_source_fp_x_flood_bin_fp2_seed42_best.pt,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp2/validation.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp2/test.csv,0.48,0.6069281417931017,0.4356761198049922,0.6945146243195434,0.538959051069865,0.8238232261256182,0.7045225812249287,0.543832390294455,0.7111734268418041,0.6979949795526251,0.8360313747240167,1767911,717996,764931,5793130
domain_balance_standard_fp2_seed42,fp2,standard,42,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/domain_balancing/models/domain_balance_standard_fp2_seed42_best.pt,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp2/validation.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp2/test.csv,0.49,0.5845868665633077,0.41301500795312834,0.648262655849804,0.5323014051034993,0.8090819509405854,0.7238265163936363,0.5671850463059059,0.7315395350544001,0.7162744458596423,0.8469243809796778,1814210,665779,718632,5845347
domain_balance_flood_bin_fp3_seed42,fp3,flood_bin,42,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/domain_balancing/models/domain_balance_flood_bin_fp3_seed42_best.pt,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp3/validation.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp3/test.csv,0.47,0.6212683175514454,0.45060857414121186,0.6232515859643633,0.6192976311421545,0.8414360548921702,0.5743237031776626,0.4028429906969573,0.660037680288324,0.508313030241358,0.7837263898151697,1568103,807675,1516813,6855313
domain_balance_source_fp_fp3_seed42,fp3,source_fp,42,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/domain_balancing/models/domain_balance_source_fp_fp3_seed42_best.pt,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp3/validation.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp3/test.csv,0.75,0.6296445109685069,0.4594753084205353,0.6472655465713878,0.6129574719420278,0.8485719600837401,0.6283039329409444,0.458048942495002,0.6855853338745138,0.5798563072706168,0.80308076812,1788808,820361,1296108,6842627
domain_balance_source_fp_x_flood_bin_fp3_seed42,fp3,source_fp_x_flood_bin,42,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/domain_balancing/models/domain_balance_source_fp_x_flood_bin_fp3_seed42_best.pt,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp3/validation.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp3/test.csv,0.3,0.6111273720941258,0.440016859584589,0.626614863048659,0.5963869968434258,0.8406117148028177,0.6028855085595168,0.4315219062239682,0.6981559890361998,0.5304941852549784,0.7994091685225343,1636530,707545,1448386,6955443
domain_balance_standard_fp3_seed42,fp3,standard,42,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/domain_balancing/models/domain_balance_standard_fp3_seed42_best.pt,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp3/validation.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp3/test.csv,0.58,0.6169443993401877,0.4460734615773038,0.6148066629681068,0.6190970537752002,0.8385540625292399,0.634291479554498,0.46444132848171554,0.675756235111636,0.5976211345787179,0.8022020851693521,1843611,884608,1241305,6778380
domain_balance_flood_bin_fp4_seed42,fp4,flood_bin,42,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/domain_balancing/models/domain_balance_flood_bin_fp4_seed42_best.pt,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp4/validation.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp4/test.csv,0.48,0.6313626513069344,0.4613074836148824,0.547292684580383,0.7459482168286086,0.7509282259333079,0.47889522361299736,0.31483381752998024,0.3367267988598694,0.828835337347255,0.6899570022498731,1689919,3328746,348989,6494362
domain_balance_source_fp_fp4_seed42,fp4,source_fp,42,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/domain_balancing/models/domain_balance_source_fp_fp4_seed42_best.pt,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp4/validation.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp4/test.csv,0.44,0.6409748873617079,0.4716431516981936,0.5951250922278314,0.6944791454759673,0.7775469274328881,0.48241285613235335,0.3178814858057575,0.3449029185068027,0.8022720985939629,0.7040928793216962,1635759,3106906,403149,6716202
domain_balance_source_fp_x_flood_bin_fp4_seed42,fp4,source_fp_x_flood_bin,42,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/domain_balancing/models/domain_balance_source_fp_x_flood_bin_fp4_seed42_best.pt,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp4/validation.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp4/test.csv,0.23,0.6271009043233697,0.45677129972491787,0.5899896335165622,0.6691942707005301,0.7724370764405958,0.501749372483169,0.3348901467271657,0.37373598352852927,0.7631442909636058,0.7394825635035416,1555981,2607335,482927,7215773
domain_balance_standard_fp4_seed42,fp4,standard,42,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/domain_balancing/models/domain_balance_standard_fp4_seed42_best.pt,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp4/validation.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp4/test.csv,0.48,0.6412695522786929,0.4719623037477069,0.5906429679601911,0.7013886302229536,0.7756212477716046,0.49555450014417085,0.3293934543934426,0.3600720810113534,0.7944948962876307,0.7219755056813301,1619902,2878925,419006,6944183
domain_balance_flood_bin_fp5_seed42,fp5,flood_bin,42,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/domain_balancing/models/domain_balance_flood_bin_fp5_seed42_best.pt,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp5/validation.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp5/test.csv,0.48,0.6595842561365797,0.49207438748481164,0.7489208098588651,0.5892896343500514,0.8513460584506881,0.5686775163128351,0.3973091478643615,0.6461262072175193,0.5078084489921685,0.8230480194091814,1223177,669916,1185560,7407107
domain_balance_source_fp_fp5_seed42,fp5,source_fp,42,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/domain_balancing/models/domain_balance_source_fp_fp5_seed42_best.pt,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp5/validation.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp5/test.csv,0.54,0.6788798498634668,0.5138668498798665,0.6988407835343385,0.6600275358953038,0.8474033622984688,0.6187996958862878,0.4480158989563576,0.6290363463637711,0.6088908834796156,0.8276695251464861,1466658,864937,942079,7212086
domain_balance_source_fp_x_flood_bin_fp5_seed42,fp5,source_fp_x_flood_bin,42,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/domain_balancing/models/domain_balance_source_fp_x_flood_bin_fp5_seed42_best.pt,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp5/validation.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp5/test.csv,0.48,0.655310708647868,0.48733243646860736,0.7695052671716138,0.5706293328073421,0.8532956846200751,0.591040298894009,0.4194870147315599,0.7230592186663053,0.4997872328942719,0.8411204338073746,1203856,461092,1204881,7615931
domain_balance_standard_fp5_seed42,fp5,standard,42,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/domain_balancing/models/domain_balance_standard_fp5_seed42_best.pt,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp5/validation.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp5/test.csv,0.49,0.6709664069134647,0.5048528572970292,0.6919707282730411,0.651199664669758,0.843914736608033,0.5934727413855208,0.4219418697723228,0.6015155385125275,0.5856421850953596,0.8156934738159197,1410658,934515,998079,7142508
domain_balance_flood_bin_fp6_seed42,fp6,flood_bin,42,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/domain_balancing/models/domain_balance_flood_bin_fp6_seed42_best.pt,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp6/validation.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp6/test.csv,0.43,0.6358014410868108,0.466062243602826,0.6945465061323203,0.5862187848594713,0.8406241567511322,0.5051926912584074,0.3379650930953229,0.7068039475205321,0.3930715678834089,0.7946527817670055,1167908,484471,1803327,7685414
domain_balance_source_fp_fp6_seed42,fp6,source_fp,42,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/domain_balancing/models/domain_balance_source_fp_fp6_seed42_best.pt,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp6/validation.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp6/test.csv,0.57,0.6691055417102575,0.5027487623399515,0.6865328949242476,0.6525410572189065,0.8468388005306862,0.5732002311832797,0.40173838243516197,0.7858785370790252,0.4511167915025418,0.8208383896771615,1340374,365200,1630861,7804685
