heldout_fold,source_fp,flood_bin,n_tiles,mean_flood_fraction,median_flood_fraction,min_flood_fraction,max_flood_fraction,total_valid_pixels,total_flood_pixels,total_flood_fraction,percent_tiles_within_fold
fp1,fp2,0-1%,3,0.0017915516251321092,0.001359311282283643,0.0011476664116296864,0.0028676771814829987,7262,13,0.0017901404571743322,0.004048582995951417
fp1,fp2,1-5%,17,0.030706551613920035,0.0318450927734375,0.0119781494140625,0.044647216796875,1113999,34208,0.03070738842674006,0.022941970310391364
fp1,fp2,10-25%,27,0.15833727944339984,0.15320168477597362,0.10359246711229131,0.24791982715027813,1768513,279975,0.15831096520070817,0.03643724696356275
fp1,fp2,25-50%,26,0.34803814367528163,0.32936859130859375,0.2570953369140625,0.4802929732204166,1663538,582526,0.3501729446517002,0.03508771929824561
fp1,fp2,5-10%,17,0.07073497631240637,0.0685577392578125,0.05069841996794138,0.096954345703125,1048878,74475,0.07100444474953235,0.022941970310391364
fp1,fp2,>50%,23,0.7285905189974201,0.684356689453125,0.546539306640625,0.9493995391634749,1489264,1086833,0.7297786020477229,0.0310391363022942
fp1,fp3,0-1%,6,0.004191566542438202,0.0036229804471337936,0.0011476664116296864,0.008346684977492943,92437,671,0.0072589980202732675,0.008097165991902834
fp1,fp3,1-5%,9,0.025816711341457875,0.0223541259765625,0.014556884765625,0.04115927910375061,519635,12715,0.024469098501833018,0.012145748987854251
fp1,fp3,10-25%,28,0.17643738520544247,0.1942054398614179,0.10292097793242377,0.24085496183206107,1652572,293660,0.17769876289807646,0.037786774628879895
fp1,fp3,25-50%,32,0.36460004930531054,0.3681113747429893,0.2566389249446438,0.4848730003663451,1985584,731972,0.36864318004174085,0.043184885290148446
fp1,fp3,5-10%,25,0.07491198240171335,0.07627843077392764,0.05068033918359298,0.09691004806591898,1517198,115557,0.07616474580114131,0.033738191632928474
fp1,fp3,>50%,30,0.7310429871338953,0.7042003952328821,0.5069442320046499,0.9986722219678587,1575865,1105069,0.7012459823652407,0.04048582995951417
fp1,fp4,0-1%,19,0.002387714891747713,0.0,0.0,0.009731567903914334,256139,1834,0.007160174748866826,0.02564102564102564
fp1,fp4,1-5%,25,0.029866754099426393,0.02841746870057103,0.010044114728824168,0.049808897722060846,1440184,44234,0.030714130972153558,0.033738191632928474
fp1,fp4,10-25%,43,0.15887775510462504,0.15260835712431872,0.10236220472440945,0.23330782182764426,2507318,402931,0.1607019931257224,0.058029689608636977
