heldout_fp,condition,checkpoint_path,train_csv,val_csv,test_csv,best_epoch,best_val_loss,selected_threshold,selected_val_dice,selected_val_iou,selected_val_precision,selected_val_recall,test_loss,test_dice,test_iou,test_precision,test_recall,test_accuracy,test_tp,test_fp,test_fn,test_tn,sweep_csv
fp1,random,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/models/lofo_fp1_random_best.pt,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp1/train.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp1/validation.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp1/test.csv,18,0.5378489767511686,0.63,0.6274300245234485,0.4571206100480368,0.6612996267467846,0.5968607696312839,0.6373783018853929,0.5452171373265635,0.37477561175325536,0.5596576284082796,0.5315030997050211,0.8761750381358362,666414,524339,587415,7200264,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/results/lofo_fp1_random_threshold_sweep.csv
fp1,ssl,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/models/lofo_fp1_ssl_best.pt,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp1/train.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp1/validation.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp1/test.csv,16,0.5412252570192019,0.6,0.6211568468515848,0.4504913016634727,0.6621344479275669,0.5849556218662331,0.6441982785860697,0.5289665705074001,0.359588409007048,0.523526337702873,0.5345210551040426,0.8670598607863836,670198,609963,583631,7114640,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/results/lofo_fp1_ssl_threshold_sweep.csv
fp2,random,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/models/lofo_fp2_random_best.pt,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp2/train.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp2/validation.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp2/test.csv,20,0.5496275648474693,0.48,0.5967205757894366,0.4252328976640845,0.6100763258275466,0.5839370647040198,0.550230946805742,0.6421591919160538,0.47292671430476096,0.5447609486416176,0.7819678448162268,0.7559295875438772,1980601,1655124,552241,4856002,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/results/lofo_fp2_random_threshold_sweep.csv
fp2,ssl,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/models/lofo_fp2_ssl_best.pt,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp2/train.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp2/validation.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp2/test.csv,17,0.5346390729149183,0.65,0.6286620422019253,0.45842969534028083,0.6708012577722191,0.5915042060182117,0.5346104237768385,0.6793915230361106,0.5144534015093228,0.6244797634864427,0.7448913118149594,0.803108547044839,1886692,1134530,646150,5376596,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/results/lofo_fp2_ssl_threshold_sweep.csv
fp3,random,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/models/lofo_fp3_random_best.pt,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp3/train.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp3/validation.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp3/test.csv,18,0.5458544384349476,0.48,0.6243126107833209,0.4538186623480055,0.6633512492168084,0.5896134861086211,0.5393139151009646,0.6200591174211876,0.4493374500670209,0.742140996036342,0.5324683070787167,0.8127049701969815,1642620,570733,1442296,7092255,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/results/lofo_fp3_random_threshold_sweep.csv
fp3,ssl,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/models/lofo_fp3_ssl_best.pt,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp3/train.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp3/validation.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp3/test.csv,20,0.5461498282172463,0.39,0.6258128954539696,0.45540588569321677,0.6767159807465315,0.5820320097112693,0.5855467211116444,0.5737304194193124,0.4022594516709368,0.7826494711366203,0.45284798678474697,0.8068572253715719,1396998,387962,1687918,7275026,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/results/lofo_fp3_ssl_threshold_sweep.csv
fp4,random,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/models/lofo_fp4_random_best.pt,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp4/train.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp4/validation.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp4/test.csv,7,0.5277930349111557,0.57,0.6052368109608646,0.4339351767505621,0.6296673471299533,0.5826312343666431,0.669176754852136,0.5779730487912276,0.4064431045416852,0.5411359320979476,0.6201917889380187,0.8443218252276861,1264514,1072263,774394,8750845,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/results/lofo_fp4_random_threshold_sweep.csv
fp4,ssl,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/models/lofo_fp4_ssl_best.pt,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp4/train.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp4/validation.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp4/test.csv,17,0.4896992325782776,0.52,0.6411882369194905,0.4718742171217939,0.648405333122406,0.6341300324056828,0.6248388737440109,0.5923969578736513,0.4208551275782831,0.5344319798280103,0.6644654883888991,0.8428312691535752,1354784,1180214,684124,8642894,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/results/lofo_fp4_ssl_threshold_sweep.csv
fp5,random,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/models/lofo_fp5_random_best.pt,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp5/train.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp5/validation.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp5/test.csv,14,0.4877725809812546,0.59,0.6769501303492702,0.5116588164042427,0.7029553424717497,0.6528003576007798,0.5872119426727295,0.6116995614910978,0.44061036395558734,0.589293855705531,0.6358763949738125,0.8145521163940448,1531659,1067484,877078,7009539,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/results/lofo_fp5_random_threshold_sweep.csv
fp5,ssl,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/models/lofo_fp5_ssl_best.pt,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp5/train.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp5/validation.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp5/test.csv,16,0.4854672700166702,0.57,0.672513418844603,0.506606566417629,0.6845580023900465,0.6608853482312577,0.5576869994401932,0.6348227530926348,0.4650112317142376,0.6354054758865744,0.6342410981356771,0.8323802947998062,1527720,876603,881017,7200420,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/results/lofo_fp5_ssl_threshold_sweep.csv
