fold,method,seed,run_name,path,dice,iou,precision,recall,accuracy
fp1,random,1,seedrep_fp1_random_seed1,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results/seedrep_fp1_random_seed1_test_metrics.csv,0.536120833104151,0.3662329823581142,0.5812719053419372,0.497478523785979,0.8797778944029437
fp1,random,2,seedrep_fp1_random_seed2,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results/seedrep_fp1_random_seed2_test_metrics.csv,0.5315326374090595,0.36196421585513355,0.5457607037975704,0.5180275779233439,0.8724824111827112
fp1,random,3,seedrep_fp1_random_seed3,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results/seedrep_fp1_random_seed3_test_metrics.csv,0.521203978413184,0.35245156925289145,0.45456180559639814,0.610743570295502,0.8432998100336467
fp1,weak_simsiam,1,seedrep_fp1_weak_simsiam_seed1,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results/seedrep_fp1_weak_simsiam_seed1_test_metrics.csv,0.5254508140425439,0.35634675265266713,0.6087420983305278,0.46220896150914825,0.8834116023822435
fp1,weak_simsiam,2,seedrep_fp1_weak_simsiam_seed2,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results/seedrep_fp1_weak_simsiam_seed2_test_metrics.csv,0.5101202885753512,0.34239025114825516,0.4718101232106556,0.5552017061338066,0.8510860248203711
fp1,weak_simsiam,3,seedrep_fp1_weak_simsiam_seed3,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results/seedrep_fp1_weak_simsiam_seed3_test_metrics.csv,0.5487501269622893,0.3781224289196225,0.5193261945500367,0.5817085104906984,0.8663971615533773
fp2,random,1,seedrep_fp2_random_seed1,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results/seedrep_fp2_random_seed1_test_metrics.csv,0.7156860947227202,0.5572516904021325,0.6866347026215732,0.7473044114082225,0.8337153559145738
fp2,random,2,seedrep_fp2_random_seed2,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results/seedrep_fp2_random_seed2_test_metrics.csv,0.692652759074169,0.5298154441230609,0.6475094601475632,0.7445624322401576,0.8149479299351808
fp2,random,3,seedrep_fp2_random_seed3,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results/seedrep_fp2_random_seed3_test_metrics.csv,0.674997347689111,0.5094309407697265,0.5759807949024589,0.8151250650455174,0.7801693902499457
fp2,weak_simsiam,1,seedrep_fp2_weak_simsiam_seed1,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results/seedrep_fp2_weak_simsiam_seed1_test_metrics.csv,0.7025930480665188,0.5415363676134745,0.6591697602939274,0.752140875743542,0.8216695370881473
