fold,method,n_seeds,dice_mean,dice_std,dice_min,dice_max,iou_mean,iou_std,iou_min,iou_max,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,threshold_mean,threshold_std,threshold_min,threshold_max
fp1,random,3,0.5367042787802603,0.0050994364959561595,0.5309141299474502,0.5405266530115692,0.36678877418998646,0.004754964294942372,0.3613908082367298,0.3703573306952991,0.5383893294462404,0.009253347386512366,0.5319803685579401,0.5489977516179201,0.5351984467844338,0.0102493739979489,0.5287276016107039,0.5470155818695734,0.8709691551189835,0.0022617846318613473,0.8692473251454054,0.873530701129096,0.5166666666666666,0.09865765724632496,0.45,0.63
fp1,weak_simsiam,3,0.5319522921532428,0.01997222772804632,0.5124437761883336,0.5523579929513963,0.3625218319954086,0.01855525526166735,0.3444869968512949,0.3815570356911115,0.529583708961758,0.013436426038130379,0.5149767831468993,0.5414166126026068,0.534481708962397,0.02721666371300504,0.5099355653760992,0.5637507187981325,0.868744379122462,0.003985372188486315,0.864493042883202,0.8723957590813086,0.51,0.14525839046333952,0.36,0.65
fp2,random,3,0.6997896618311601,0.00937899604371245,0.6927141338056152,0.7104280063946883,0.5382662076443939,0.01113544669087444,0.5298872662198683,0.5509021674769116,0.6515390060825943,0.011701220077357882,0.6422415101565003,0.6646781002356952,0.7558393562119512,0.009958781474552715,0.7444558326180336,0.7629413915277478,0.8183602964244512,0.006469465437834025,0.8142365165378646,0.8258166105850792,0.5666666666666667,0.15143755588800728,0.46,0.74
fp2,weak_simsiam,3,0.6873858894204228,0.007556702745629618,0.6788952908897268,0.6933736176882594,0.5237106346395608,0.008749762421195767,0.5138845439033697,0.5306594349193474,0.6181862861674818,0.02485951679651854,0.58982622808265,0.6362102590733157,0.7753359006733368,0.02109985352282691,0.7618232799361049,0.7996495636127007,0.8023194391370306,0.012414232333099238,0.7881528329158087,0.8112984256467867,0.51,0.1473091986265624,0.38,0.67
fp3,random,3,0.6186516913187368,0.017208142587535384,0.6070690928122059,0.6384252196571778,0.44801160022418673,0.018163672126224155,0.4358213962226061,0.46888737135424374,0.689215197975914,0.006908982154304725,0.6812381410297506,0.6932983640036479,0.5614962179413022,0.026091652438975987,0.5454229547903234,0.5916011975690556,0.8014849220834053,0.005647484113458563,0.7965847108422182,0.8076612891220389,0.43,0.09,0.34,0.52
fp3,weak_simsiam,3,0.6208560268115602,0.005814954640070853,0.6141427136576935,0.624323441411552,0.4501920649172966,0.006099694171769577,0.4431500412849871,0.453830108184846,0.7425991997016416,0.015150648516910151,0.7269903188820279,0.7572457362926106,0.5337660193448638,0.015545590604039735,0.5165297855759924,0.5467257455308168,0.8129399307374956,0.0017213627514078822,0.8109687246927325,0.8141465535977915,0.5,0.017320508075688787,0.49,0.52
fp4,random,3,0.4872146959817825,0.004246588733001359,0.4832166700807981,0.4916724398119253,0.3220716159527086,0.0037129162707830745,0.31857989242704743,0.3259719259857708,0.3494146627870808,0.005421908032540327,0.3454983308795746,0.3556029404421973,0.8047080430635352,0.008958302856347102,0.7964170036116982,0.814210351815736,0.7087999206880119,0.007051427338604635,0.7045936373715842,0.7169406954096106,0.34,0.0721110255092798,0.26,0.4
fp4,weak_simsiam,3,0.5630378529563281,0.03871566477631432,0.5187105229614462,0.5902233264642136,0.39248945881236313,0.03698734144877493,0.3501749867274224,0.418664415111867,0.48577471239121567,0.0829036613899595,0.3925345753964417,0.5511757476304373,0.6887405742027585,0.06739414904028766,0.6352253264982709,0.7644273307083613,0.8129162024397808,0.04965376817113832,0.7561702833649798,0.8483900207182249,0.54,0.07211102550927977,0.46,0.6
fp5,random,3,0.6029602622998187,0.034017881321863286,0.5780814488755293,0.6417245570758835,0.43217176221240977,0.035314365262902214,0.4065503248539625,0.47245539218052024,0.6328455944670665,0.05287054746303485,0.5975958142136006,0.6936374225568145,0.5762502644885165,0.01899579442363191,0.5598012568412176,0.5970411049441845,0.8252855300903241,0.018813395689792952,0.8122876167297285,0.8468587875366129,0.49,0.02645751311064593,0.47,0.52
fp5,weak_simsiam,3,0.615775534663917,0.02508392562174018,0.6000091561955275,0.644700808088862,0.4451720533076137,0.02646196937513194,0.42858077168919456,0.4756889194184162,0.6276699398134936,0.046894217518176656,0.5883690454147623,0.6795794541295149,0.6053374306396282,0.012718290531296564,0.5906655645676306,0.6132275960388945,0.8261025746663332,0.016688912248817373,0.8125231742858808,0.8447337150573649,0.52,0.08660254037844388,0.47,0.62
