uavsar_path,flood_mask_path
tiles/levees_35510_11033/tile_00023.tif,tiles/masks/levees/tile_00023_flood_mask.tif
milton/tiles/fp1/uavsar/tile_00148.tif,milton/tiles/fp1/masks/tile_00148.tif
milton/tiles/fp6/uavsar/tile_00107.tif,milton/tiles/fp6/masks/tile_00107.tif
milton/tiles/fp6/uavsar/tile_00067.tif,milton/tiles/fp6/masks/tile_00067.tif
tiles/neches_16508_17089/tile_00117.tif,tiles/masks/neches_16508_17089/tile_00117_flood_mask.tif
milton/tiles/fp7/uavsar/tile_00037.tif,milton/tiles/fp7/masks/tile_00037.tif
milton/tiles/fp1/uavsar/tile_00103.tif,milton/tiles/fp1/masks/tile_00103.tif
milton/tiles/fp1/uavsar/tile_00056.tif,milton/tiles/fp1/masks/tile_00056.tif
tiles/levees_35510_11033/tile_00141.tif,tiles/masks/levees/tile_00141_flood_mask.tif
milton/tiles/fp5/uavsar/tile_00014.tif,milton/tiles/fp5/masks/tile_00014.tif
milton/tiles/fp1/uavsar/tile_00004.tif,milton/tiles/fp1/masks/tile_00004.tif
milton/tiles/fp2/uavsar/tile_00022.tif,milton/tiles/fp2/masks/tile_00022.tif
tiles/neches_16508_17089/tile_00089.tif,tiles/masks/neches_16508_17089/tile_00089_flood_mask.tif
milton/tiles/fp6/uavsar/tile_00063.tif,milton/tiles/fp6/masks/tile_00063.tif
milton/tiles/fp5/uavsar/tile_00076.tif,milton/tiles/fp5/masks/tile_00076.tif
tiles/levees_35510_11033/tile_00003.tif,tiles/masks/levees/tile_00003_flood_mask.tif
milton/tiles/fp1/uavsar/tile_00121.tif,milton/tiles/fp1/masks/tile_00121.tif
milton/tiles/fp1/uavsar/tile_00176.tif,milton/tiles/fp1/masks/tile_00176.tif
milton/tiles/fp3/uavsar/tile_00101.tif,milton/tiles/fp3/masks/tile_00101.tif
milton/tiles/fp2/uavsar/tile_00082.tif,milton/tiles/fp2/masks/tile_00082.tif
tiles/levees_35510_11033/tile_00015.tif,tiles/masks/levees/tile_00015_flood_mask.tif
milton/tiles/fp6/uavsar/tile_00049.tif,milton/tiles/fp6/masks/tile_00049.tif
milton/tiles/fp1/uavsar/tile_00104.tif,milton/tiles/fp1/masks/tile_00104.tif
milton/tiles/fp2/uavsar/tile_00004.tif,milton/tiles/fp2/masks/tile_00004.tif
milton/tiles/fp2/uavsar/tile_00115.tif,milton/tiles/fp2/masks/tile_00115.tif
milton/tiles/fp5/uavsar/tile_00035.tif,milton/tiles/fp5/masks/tile_00035.tif
tiles/levees_35510_11033/tile_00027.tif,tiles/masks/levees/tile_00027_flood_mask.tif
milton/tiles/fp3/uavsar/tile_00116.tif,milton/tiles/fp3/masks/tile_00116.tif
milton/tiles/fp4/uavsar/tile_00036.tif,milton/tiles/fp4/masks/tile_00036.tif
milton/tiles/fp3/uavsar/tile_00108.tif,milton/tiles/fp3/masks/tile_00108.tif
milton/tiles/fp6/uavsar/tile_00021.tif,milton/tiles/fp6/masks/tile_00021.tif
milton/tiles/fp2/uavsar/tile_00076.tif,milton/tiles/fp2/masks/tile_00076.tif
tiles/levees_35510_11033/tile_00076.tif,tiles/masks/levees/tile_00076_flood_mask.tif
milton/tiles/fp3/uavsar/tile_00064.tif,milton/tiles/fp3/masks/tile_00064.tif
milton/tiles/fp3/uavsar/tile_00103.tif,milton/tiles/fp3/masks/tile_00103.tif
milton/tiles/fp5/uavsar/tile_00055.tif,milton/tiles/fp5/masks/tile_00055.tif
tiles/neches_16508_17089/tile_00076.tif,tiles/masks/neches_16508_17089/tile_00076_flood_mask.tif
milton/tiles/fp1/uavsar/tile_00066.tif,milton/tiles/fp1/masks/tile_00066.tif
milton/tiles/fp6/uavsar/tile_00141.tif,milton/tiles/fp6/masks/tile_00141.tif
milton/tiles/fp5/uavsar/tile_00047.tif,milton/tiles/fp5/masks/tile_00047.tif
milton/tiles/fp3/uavsar/tile_00022.tif,milton/tiles/fp3/masks/tile_00022.tif
milton/tiles/fp3/uavsar/tile_00054.tif,milton/tiles/fp3/masks/tile_00054.tif
milton/tiles/fp3/uavsar/tile_00027.tif,milton/tiles/fp3/masks/tile_00027.tif
