uavsar_path,flood_mask_path
milton/tiles/florence/fp3/uavsar/tile_00060.tif,milton/tiles/florence/fp3/masks/tile_00060.tif
milton/tiles/florence/fp6/uavsar/tile_00001.tif,milton/tiles/florence/fp6/masks/tile_00001.tif
milton/tiles/florence/fp3/uavsar/tile_00036.tif,milton/tiles/florence/fp3/masks/tile_00036.tif
milton/tiles/florence/fp5/uavsar/tile_00002.tif,milton/tiles/florence/fp5/masks/tile_00002.tif
milton/tiles/florence/fp4/uavsar/tile_00030.tif,milton/tiles/florence/fp4/masks/tile_00030.tif
milton/tiles/florence/fp3/uavsar/tile_00087.tif,milton/tiles/florence/fp3/masks/tile_00087.tif
milton/tiles/florence/fp2/uavsar/tile_00056.tif,milton/tiles/florence/fp2/masks/tile_00056.tif
milton/tiles/florence/fp4/uavsar/tile_00015.tif,milton/tiles/florence/fp4/masks/tile_00015.tif
milton/tiles/florence/fp3/uavsar/tile_00113.tif,milton/tiles/florence/fp3/masks/tile_00113.tif
milton/tiles/florence/fp7/uavsar/tile_00093.tif,milton/tiles/florence/fp7/masks/tile_00093.tif
milton/tiles/florence/fp2/uavsar/tile_00066.tif,milton/tiles/florence/fp2/masks/tile_00066.tif
milton/tiles/florence/fp3/uavsar/tile_00045.tif,milton/tiles/florence/fp3/masks/tile_00045.tif
milton/tiles/florence/fp3/uavsar/tile_00027.tif,milton/tiles/florence/fp3/masks/tile_00027.tif
milton/tiles/florence/fp7/uavsar/tile_00040.tif,milton/tiles/florence/fp7/masks/tile_00040.tif
milton/tiles/florence/fp3/uavsar/tile_00121.tif,milton/tiles/florence/fp3/masks/tile_00121.tif
milton/tiles/florence/fp7/uavsar/tile_00082.tif,milton/tiles/florence/fp7/masks/tile_00082.tif
milton/tiles/florence/fp6/uavsar/tile_00011.tif,milton/tiles/florence/fp6/masks/tile_00011.tif
milton/tiles/florence/fp7/uavsar/tile_00067.tif,milton/tiles/florence/fp7/masks/tile_00067.tif
milton/tiles/florence/fp6/uavsar/tile_00028.tif,milton/tiles/florence/fp6/masks/tile_00028.tif
milton/tiles/florence/fp2/uavsar/tile_00013.tif,milton/tiles/florence/fp2/masks/tile_00013.tif
milton/tiles/florence/fp6/uavsar/tile_00004.tif,milton/tiles/florence/fp6/masks/tile_00004.tif
milton/tiles/florence/fp2/uavsar/tile_00104.tif,milton/tiles/florence/fp2/masks/tile_00104.tif
milton/tiles/florence/fp2/uavsar/tile_00035.tif,milton/tiles/florence/fp2/masks/tile_00035.tif
milton/tiles/florence/fp5/uavsar/tile_00079.tif,milton/tiles/florence/fp5/masks/tile_00079.tif
milton/tiles/florence/fp7/uavsar/tile_00106.tif,milton/tiles/florence/fp7/masks/tile_00106.tif
milton/tiles/florence/fp3/uavsar/tile_00018.tif,milton/tiles/florence/fp3/masks/tile_00018.tif
milton/tiles/florence/fp2/uavsar/tile_00089.tif,milton/tiles/florence/fp2/masks/tile_00089.tif
milton/tiles/florence/fp3/uavsar/tile_00123.tif,milton/tiles/florence/fp3/masks/tile_00123.tif
milton/tiles/florence/fp3/uavsar/tile_00074.tif,milton/tiles/florence/fp3/masks/tile_00074.tif
milton/tiles/florence/fp2/uavsar/tile_00028.tif,milton/tiles/florence/fp2/masks/tile_00028.tif
milton/tiles/florence/fp6/uavsar/tile_00021.tif,milton/tiles/florence/fp6/masks/tile_00021.tif
milton/tiles/florence/fp2/uavsar/tile_00064.tif,milton/tiles/florence/fp2/masks/tile_00064.tif
milton/tiles/florence/fp4/uavsar/tile_00056.tif,milton/tiles/florence/fp4/masks/tile_00056.tif
milton/tiles/florence/fp4/uavsar/tile_00034.tif,milton/tiles/florence/fp4/masks/tile_00034.tif
milton/tiles/florence/fp2/uavsar/tile_00100.tif,milton/tiles/florence/fp2/masks/tile_00100.tif
milton/tiles/florence/fp4/uavsar/tile_00080.tif,milton/tiles/florence/fp4/masks/tile_00080.tif
milton/tiles/florence/fp2/uavsar/tile_00039.tif,milton/tiles/florence/fp2/masks/tile_00039.tif
milton/tiles/florence/fp3/uavsar/tile_00094.tif,milton/tiles/florence/fp3/masks/tile_00094.tif
milton/tiles/florence/fp5/uavsar/tile_00019.tif,milton/tiles/florence/fp5/masks/tile_00019.tif
milton/tiles/florence/fp4/uavsar/tile_00093.tif,milton/tiles/florence/fp4/masks/tile_00093.tif
milton/tiles/florence/fp7/uavsar/tile_00077.tif,milton/tiles/florence/fp7/masks/tile_00077.tif
milton/tiles/florence/fp2/uavsar/tile_00103.tif,milton/tiles/florence/fp2/masks/tile_00103.tif
milton/tiles/florence/fp3/uavsar/tile_00064.tif,milton/tiles/florence/fp3/masks/tile_00064.tif
milton/tiles/florence/fp2/uavsar/tile_00067.tif,milton/tiles/florence/fp2/masks/tile_00067.tif
milton/tiles/florence/fp4/uavsar/tile_00092.tif,milton/tiles/florence/fp4/masks/tile_00092.tif
milton/tiles/florence/fp3/uavsar/tile_00034.tif,milton/tiles/florence/fp3/masks/tile_00034.tif
milton/tiles/florence/fp3/uavsar/tile_00061.tif,milton/tiles/florence/fp3/masks/tile_00061.tif
milton/tiles/florence/fp2/uavsar/tile_00077.tif,milton/tiles/florence/fp2/masks/tile_00077.tif
