sample_id,flight_path,tile_name,uavsar_path,flood_mask_path,land_cover_mask_path,has_flood_mask,has_land_cover_mask,tile_name_appears_in_multiple_flight_paths,flight_paths_with_same_tile_name,in_ieee_cd_png,in_ieee_lcc_png,included_in_ieee_png_filtered_dataset
fp2_tile_32_48,fp2,tile_32_48.tif,fp2_lee7_tiles/tile_32_48.tif,flood_change_mask_tiles/tile_32_48.tif,land_cover_mask_tiles/tile_32_48.tif,True,True,False,fp2,True,True,True
fp4_tile_43_29,fp4,tile_43_29.tif,fp4_lee7_tiles/tile_43_29.tif,flood_change_mask_tiles/tile_43_29.tif,land_cover_mask_tiles/tile_43_29.tif,True,True,True,fp4;fp5,True,True,True
fp5_tile_43_29,fp5,tile_43_29.tif,fp5_lee7_tiles/tile_43_29.tif,flood_change_mask_tiles/tile_43_29.tif,land_cover_mask_tiles/tile_43_29.tif,True,True,True,fp4;fp5,True,True,True
fp2_tile_25_47,fp2,tile_25_47.tif,fp2_lee7_tiles/tile_25_47.tif,flood_change_mask_tiles/tile_25_47.tif,land_cover_mask_tiles/tile_25_47.tif,True,True,False,fp2,True,True,True
fp3_tile_42_43,fp3,tile_42_43.tif,fp3_lee7_tiles/tile_42_43.tif,flood_change_mask_tiles/tile_42_43.tif,land_cover_mask_tiles/tile_42_43.tif,True,True,False,fp3,True,True,True
fp3_tile_32_35,fp3,tile_32_35.tif,fp3_lee7_tiles/tile_32_35.tif,flood_change_mask_tiles/tile_32_35.tif,land_cover_mask_tiles/tile_32_35.tif,True,True,False,fp3,True,True,True
fp4_tile_30_19,fp4,tile_30_19.tif,fp4_lee7_tiles/tile_30_19.tif,flood_change_mask_tiles/tile_30_19.tif,land_cover_mask_tiles/tile_30_19.tif,True,True,True,fp4;fp5,True,True,True
fp5_tile_30_19,fp5,tile_30_19.tif,fp5_lee7_tiles/tile_30_19.tif,flood_change_mask_tiles/tile_30_19.tif,land_cover_mask_tiles/tile_30_19.tif,True,True,True,fp4;fp5,True,True,True
fp6_tile_47_40,fp6,tile_47_40.tif,fp6_lee7_tiles/tile_47_40.tif,flood_change_mask_tiles/tile_47_40.tif,land_cover_mask_tiles/tile_47_40.tif,True,True,False,fp6,True,True,True
fp2_tile_42_44,fp2,tile_42_44.tif,fp2_lee7_tiles/tile_42_44.tif,flood_change_mask_tiles/tile_42_44.tif,land_cover_mask_tiles/tile_42_44.tif,True,True,True,fp2;fp3,True,True,True
fp3_tile_42_44,fp3,tile_42_44.tif,fp3_lee7_tiles/tile_42_44.tif,flood_change_mask_tiles/tile_42_44.tif,land_cover_mask_tiles/tile_42_44.tif,True,True,True,fp2;fp3,True,True,True
fp2_tile_43_46,fp2,tile_43_46.tif,fp2_lee7_tiles/tile_43_46.tif,flood_change_mask_tiles/tile_43_46.tif,land_cover_mask_tiles/tile_43_46.tif,True,True,True,fp2;fp3,True,True,True
fp3_tile_43_46,fp3,tile_43_46.tif,fp3_lee7_tiles/tile_43_46.tif,flood_change_mask_tiles/tile_43_46.tif,land_cover_mask_tiles/tile_43_46.tif,True,True,True,fp2;fp3,True,True,True
fp4_tile_27_21,fp4,tile_27_21.tif,fp4_lee7_tiles/tile_27_21.tif,flood_change_mask_tiles/tile_27_21.tif,land_cover_mask_tiles/tile_27_21.tif,True,True,True,fp4;fp6,True,True,True
fp6_tile_27_21,fp6,tile_27_21.tif,fp6_lee7_tiles/tile_27_21.tif,flood_change_mask_tiles/tile_27_21.tif,land_cover_mask_tiles/tile_27_21.tif,True,True,True,fp4;fp6,True,True,True
fp3_tile_35_31,fp3,tile_35_31.tif,fp3_lee7_tiles/tile_35_31.tif,flood_change_mask_tiles/tile_35_31.tif,land_cover_mask_tiles/tile_35_31.tif,True,True,True,fp3;fp6,True,True,True
fp6_tile_35_31,fp6,tile_35_31.tif,fp6_lee7_tiles/tile_35_31.tif,flood_change_mask_tiles/tile_35_31.tif,land_cover_mask_tiles/tile_35_31.tif,True,True,True,fp3;fp6,True,True,True
fp3_tile_44_40,fp3,tile_44_40.tif,fp3_lee7_tiles/tile_44_40.tif,flood_change_mask_tiles/tile_44_40.tif,land_cover_mask_tiles/tile_44_40.tif,True,True,True,fp3;fp6,True,True,True
