sample_id,flight_path,tile_name,uavsar_path,flood_mask_path,land_cover_mask_path,has_flood_mask,has_land_cover_mask,tile_name_appears_in_multiple_flight_paths,flight_paths_with_same_tile_name,in_ieee_cd_png,in_ieee_lcc_png,included_in_ieee_png_filtered_dataset
fp1_tile_10_48,fp1,tile_10_48.tif,fp1_lee7_tiles/tile_10_48.tif,flood_change_mask_tiles/tile_10_48.tif,land_cover_mask_tiles/tile_10_48.tif,True,True,False,fp1,True,True,True
fp1_tile_10_49,fp1,tile_10_49.tif,fp1_lee7_tiles/tile_10_49.tif,flood_change_mask_tiles/tile_10_49.tif,land_cover_mask_tiles/tile_10_49.tif,True,True,False,fp1,True,True,True
fp1_tile_10_50,fp1,tile_10_50.tif,fp1_lee7_tiles/tile_10_50.tif,flood_change_mask_tiles/tile_10_50.tif,land_cover_mask_tiles/tile_10_50.tif,True,True,False,fp1,True,True,True
fp1_tile_10_51,fp1,tile_10_51.tif,fp1_lee7_tiles/tile_10_51.tif,flood_change_mask_tiles/tile_10_51.tif,land_cover_mask_tiles/tile_10_51.tif,True,True,False,fp1,True,True,True
fp1_tile_11_48,fp1,tile_11_48.tif,fp1_lee7_tiles/tile_11_48.tif,flood_change_mask_tiles/tile_11_48.tif,land_cover_mask_tiles/tile_11_48.tif,True,True,False,fp1,True,True,True
fp1_tile_11_49,fp1,tile_11_49.tif,fp1_lee7_tiles/tile_11_49.tif,flood_change_mask_tiles/tile_11_49.tif,land_cover_mask_tiles/tile_11_49.tif,True,True,False,fp1,True,True,True
fp1_tile_11_50,fp1,tile_11_50.tif,fp1_lee7_tiles/tile_11_50.tif,flood_change_mask_tiles/tile_11_50.tif,land_cover_mask_tiles/tile_11_50.tif,True,True,False,fp1,True,True,True
fp1_tile_11_51,fp1,tile_11_51.tif,fp1_lee7_tiles/tile_11_51.tif,flood_change_mask_tiles/tile_11_51.tif,land_cover_mask_tiles/tile_11_51.tif,True,True,False,fp1,True,True,True
fp1_tile_12_48,fp1,tile_12_48.tif,fp1_lee7_tiles/tile_12_48.tif,flood_change_mask_tiles/tile_12_48.tif,land_cover_mask_tiles/tile_12_48.tif,True,True,False,fp1,True,True,True
fp1_tile_12_49,fp1,tile_12_49.tif,fp1_lee7_tiles/tile_12_49.tif,flood_change_mask_tiles/tile_12_49.tif,land_cover_mask_tiles/tile_12_49.tif,True,True,False,fp1,True,True,True
