uavsar_path,flood_mask_path
milton/tiles/florence/fp5/uavsar/tile_00053.tif,milton/tiles/florence/fp5/masks/tile_00053.tif
milton/tiles/florence/fp1/uavsar/tile_00042.tif,milton/tiles/florence/fp1/masks/tile_00042.tif
milton/tiles/florence/fp2/uavsar/tile_00025.tif,milton/tiles/florence/fp2/masks/tile_00025.tif
milton/tiles/florence/fp1/uavsar/tile_00107.tif,milton/tiles/florence/fp1/masks/tile_00107.tif
milton/tiles/florence/fp1/uavsar/tile_00086.tif,milton/tiles/florence/fp1/masks/tile_00086.tif
milton/tiles/florence/fp2/uavsar/tile_00018.tif,milton/tiles/florence/fp2/masks/tile_00018.tif
milton/tiles/florence/fp5/uavsar/tile_00065.tif,milton/tiles/florence/fp5/masks/tile_00065.tif
milton/tiles/florence/fp6/uavsar/tile_00010.tif,milton/tiles/florence/fp6/masks/tile_00010.tif
milton/tiles/florence/fp2/uavsar/tile_00016.tif,milton/tiles/florence/fp2/masks/tile_00016.tif
milton/tiles/florence/fp2/uavsar/tile_00008.tif,milton/tiles/florence/fp2/masks/tile_00008.tif
milton/tiles/florence/fp4/uavsar/tile_00004.tif,milton/tiles/florence/fp4/masks/tile_00004.tif
milton/tiles/florence/fp6/uavsar/tile_00017.tif,milton/tiles/florence/fp6/masks/tile_00017.tif
milton/tiles/florence/fp6/uavsar/tile_00054.tif,milton/tiles/florence/fp6/masks/tile_00054.tif
milton/tiles/florence/fp5/uavsar/tile_00051.tif,milton/tiles/florence/fp5/masks/tile_00051.tif
milton/tiles/florence/fp5/uavsar/tile_00004.tif,milton/tiles/florence/fp5/masks/tile_00004.tif
milton/tiles/florence/fp6/uavsar/tile_00019.tif,milton/tiles/florence/fp6/masks/tile_00019.tif
milton/tiles/florence/fp6/uavsar/tile_00001.tif,milton/tiles/florence/fp6/masks/tile_00001.tif
milton/tiles/florence/fp7/uavsar/tile_00025.tif,milton/tiles/florence/fp7/masks/tile_00025.tif
milton/tiles/florence/fp2/uavsar/tile_00046.tif,milton/tiles/florence/fp2/masks/tile_00046.tif
milton/tiles/florence/fp5/uavsar/tile_00063.tif,milton/tiles/florence/fp5/masks/tile_00063.tif
milton/tiles/florence/fp4/uavsar/tile_00017.tif,milton/tiles/florence/fp4/masks/tile_00017.tif
milton/tiles/florence/fp1/uavsar/tile_00051.tif,milton/tiles/florence/fp1/masks/tile_00051.tif
milton/tiles/florence/fp7/uavsar/tile_00001.tif,milton/tiles/florence/fp7/masks/tile_00001.tif
milton/tiles/florence/fp7/uavsar/tile_00018.tif,milton/tiles/florence/fp7/masks/tile_00018.tif
milton/tiles/florence/fp2/uavsar/tile_00057.tif,milton/tiles/florence/fp2/masks/tile_00057.tif
milton/tiles/florence/fp4/uavsar/tile_00057.tif,milton/tiles/florence/fp4/masks/tile_00057.tif
milton/tiles/florence/fp7/uavsar/tile_00012.tif,milton/tiles/florence/fp7/masks/tile_00012.tif
milton/tiles/florence/fp7/uavsar/tile_00064.tif,milton/tiles/florence/fp7/masks/tile_00064.tif
milton/tiles/florence/fp1/uavsar/tile_00068.tif,milton/tiles/florence/fp1/masks/tile_00068.tif
milton/tiles/florence/fp2/uavsar/tile_00093.tif,milton/tiles/florence/fp2/masks/tile_00093.tif
milton/tiles/florence/fp7/uavsar/tile_00042.tif,milton/tiles/florence/fp7/masks/tile_00042.tif
milton/tiles/florence/fp2/uavsar/tile_00070.tif,milton/tiles/florence/fp2/masks/tile_00070.tif
milton/tiles/florence/fp5/uavsar/tile_00017.tif,milton/tiles/florence/fp5/masks/tile_00017.tif
milton/tiles/florence/fp7/uavsar/tile_00093.tif,milton/tiles/florence/fp7/masks/tile_00093.tif
milton/tiles/florence/fp1/uavsar/tile_00105.tif,milton/tiles/florence/fp1/masks/tile_00105.tif
milton/tiles/florence/fp1/uavsar/tile_00045.tif,milton/tiles/florence/fp1/masks/tile_00045.tif
milton/tiles/florence/fp2/uavsar/tile_00066.tif,milton/tiles/florence/fp2/masks/tile_00066.tif
milton/tiles/florence/fp1/uavsar/tile_00060.tif,milton/tiles/florence/fp1/masks/tile_00060.tif
milton/tiles/florence/fp4/uavsar/tile_00021.tif,milton/tiles/florence/fp4/masks/tile_00021.tif
milton/tiles/florence/fp2/uavsar/tile_00036.tif,milton/tiles/florence/fp2/masks/tile_00036.tif
milton/tiles/florence/fp4/uavsar/tile_00028.tif,milton/tiles/florence/fp4/masks/tile_00028.tif
milton/tiles/florence/fp6/uavsar/tile_00015.tif,milton/tiles/florence/fp6/masks/tile_00015.tif
milton/tiles/florence/fp1/uavsar/tile_00090.tif,milton/tiles/florence/fp1/masks/tile_00090.tif
milton/tiles/florence/fp5/uavsar/tile_00002.tif,milton/tiles/florence/fp5/masks/tile_00002.tif
milton/tiles/florence/fp1/uavsar/tile_00063.tif,milton/tiles/florence/fp1/masks/tile_00063.tif
milton/tiles/florence/fp7/uavsar/tile_00067.tif,milton/tiles/florence/fp7/masks/tile_00067.tif
